time (s),contrast
,
2.44,0.0036526515369339485
3.68,0.005556937689818242
4.34,0.003481815818561218
10.18,0.0026760103639628108
14.38,0.003639920108088779
16.34,0.0038915118431928075
17.62,0.0030327760923928304
18.74,0.0038261307852204274
21.3,0.0027839429986999953
24.22,0.0056538464854132275
26.5,0.002711836948494417
27.52,0.006255254173882396
30.62,0.03446035916680601
40.42,0.0025897068261734324
46.14,0.0024153695017927745
48.32,0.003919784795132775
53.58,0.0030136867205632356
57.64,0.0030600996512379908
63.4,0.002316231513916245
66.92,0.002371758780770783
