time (s),contrast
,
0.12,0.00314318217068843
0.14,0.003394459881299605
0.26,0.004124592807196792
0.38,0.0041452350993606
0.48,0.0034098247337199794
0.94,0.0037783210038637716
0.96,0.0038816114152872006
1.06,0.004057614957587052
1.08,0.006510224730158831
1.16,0.003897522119038821
1.26,0.003959717701187637
1.32,0.00471509326797559
1.48,0.004476105742248437
1.5,0.004664679304531627
2.14,0.004020540201193579
2.16,0.004753142217522988
2.72,0.003286060921296241
2.74,0.003661393226158771
2.92,0.003613754782550771
3.34,0.004195055312398832
3.36,0.004049535085370648
3.38,0.004002219215502367
3.38,0.0028656497982741946
3.52,0.0037537975256122236
3.52,0.004110398515504765
3.58,0.004381662266327191
3.64,0.004628480044574612
3.82,0.00457314927976038
3.9,0.0027500915436872164
4.0,0.0042729536940727675
4.08,0.0041508685824903635
4.34,0.003366797633714169
4.38,0.004074493478000818
4.4,0.0049856518732763755
4.4,0.004161859626016562
4.44,0.0053584843344256505
4.58,0.0039638537075787905
4.8,0.004207797261763568
4.84,0.004261857253298418
5.08,0.004050196773152437
5.16,0.00323372660966581
5.22,0.0037954509951282356
5.28,0.004166393416344838
5.64,0.004185481651097556
5.66,0.003939928715113172
5.82,0.00491374992597482
6.12,0.0022698171581302384
6.32,0.008548813215842443
6.5,0.0038549570792187904
6.78,0.003864069631660416
7.12,0.0045130730489607584
7.42,0.0036814378251216473
7.48,0.0037011309868647535
7.56,0.00536722934043643
7.76,0.004360579776046758
7.76,0.004707959525548366
7.82,0.0029663479668495807
7.86,0.0038797057899213616
7.96,0.0038910555665490065
8.12,0.0038530309704831733
8.12,0.0046607800953514245
8.16,0.0036356554310446043
8.24,0.003996729251986797
8.4,0.0040544327979723516
8.52,0.0047662447574912115
8.56,0.0036409251929607755
8.6,0.0038649429591726125
8.66,0.0042093537884190235
8.72,0.0024851834230692482
8.74,0.0038253711001261514
9.08,0.00347730148864156
9.12,0.004242238713210611
9.24,0.00412444663130862
9.24,0.004357277275957361
9.32,0.0068875985715831645
9.38,0.004486860024513151
9.5,0.004395483684737189
9.58,0.0030906873904924526
9.74,0.00347519066356039
9.74,0.0032466033079864287
10.0,0.004014658547897176
10.14,0.004030314748322605
10.34,0.004271116545007225
10.46,0.004301570153458223
10.6,0.006879289199562377
10.76,0.004307932199856035
10.9,0.003471382913341148
11.02,0.003903329664660782
11.04,0.003989756405715195
11.18,0.004774428846235801
11.18,0.003665977003527998
11.24,0.004151581969375595
11.46,0.00401592729604161
11.46,0.00487513408961604
11.66,0.0038505894405808094
11.8,0.003832511949227624
11.82,0.004218850007309594
12.08,0.004564701757949208
12.2,0.003980248312958956
12.34,0.0033460384658939857
12.48,0.0051014812972352
12.84,0.003331973769588603
12.88,0.004626198698222006
13.08,0.004937116954436993
13.14,0.004462152978238598
13.2,0.002878910606349594
13.36,0.005108135681545778
13.58,0.003620728041733634
13.68,0.004117827828477361
13.72,0.0036847448897704416
13.82,0.003050981857941948
14.3,0.0038394002852474296
14.62,0.006659973709528422
14.8,0.004198624173014753
14.86,0.003688634463458018
14.94,0.0044359893254481975
15.04,0.004402408067919583
15.32,0.003785950334240451
15.38,0.005398842916915836
15.62,0.004772640473965195
15.96,0.00393451919356036
16.32,0.003765976458462772
16.48,0.003924769026172448
16.64,0.004044806837395165
16.68,0.004228363164927584
16.94,0.004820436803633976
17.0,0.007702506477239246
17.14,0.004988771457435148
17.58,0.0038062901395627957
18.14,0.0036667768053284533
18.22,0.0037323457827418416
18.3,0.0036189121355372222
18.32,0.005760982012570026
18.58,0.004055666987424211
18.64,0.0036305343479874352
19.14,0.006806381631501046
19.38,0.003728941323504764
19.58,0.003993076514825611
19.66,0.004469181957252766
19.76,0.004565204641381548
19.98,0.0039659076981127805
20.06,0.003882130475081569
20.12,0.0037690587925689467
20.68,0.003971689230575559
20.68,0.004387384401245975
20.84,0.00273445056856203
20.92,0.005115710202597823
20.96,0.007899429737971753
21.18,0.007306830334510406
21.24,0.0038879772207491836
21.48,0.00742546775486197
21.72,0.004058599807874819
21.8,0.004625308679280793
21.84,0.0037316856117152186
21.96,0.007201923936389409
22.38,0.0036225544176243796
22.54,0.004052910083375161
22.62,0.0036486070308775487
23.02,0.004117482720803367
23.18,0.003925129809433603
23.42,0.00424373295046121
23.48,0.004979373838398415
23.82,0.004812488992400388
23.82,0.003648157076401981
24.02,0.003559707706952797
24.28,0.003947402015866186
24.62,0.0037760783284034316
25.42,0.0033387748548275864
25.46,0.004124591986879755
25.66,0.004752237772204793
25.68,0.00437021536747062
25.7,0.003905095510923773
26.1,0.003735875508072417
26.32,0.0035177893855777853
26.4,0.0038474255062658225
26.8,0.004304778996005232
26.86,0.004132137569222816
26.96,0.003891884292848813
27.74,0.008302807186263639
28.0,0.004169967517898554
28.12,0.003890655698395973
28.16,0.004073033945890425
28.4,0.004310193782613769
28.5,0.004624748368735165
29.14,0.003595908921681601
29.34,0.004507936128122392
29.58,0.003317940360190841
29.64,0.004124359054782034
29.8,0.00709196442556681
30.0,0.00448186684557883
30.24,0.004509019118679958
30.68,0.0029831083354967536
30.72,0.004086593719239584
31.12,0.004015198050261182
31.26,0.004087208535220155
31.38,0.0042976705114256
31.4,0.004204639006631594
31.86,0.004139399868733573
32.26,0.0037328647899056433
32.38,0.0035477381077083647
32.76,0.004257350047676356
32.84,0.0036780890282743783
32.88,0.0034941767331390094
32.96,0.00431119269286917
33.06,0.0038858779570237756
33.2,0.005097777284088445
33.4,0.004251124722612798
33.7,0.003538244791229217
34.28,0.0034924686400321647
34.4,0.003722557075117039
34.42,0.0035324799962533904
34.74,0.0035949214146400177
35.02,0.0038753773396950075
35.16,0.003029628294730413
35.18,0.004626303264731013
35.24,0.003860199224864247
35.24,0.004150292434108804
35.46,0.0037032225483843995
35.68,0.004611104007154809
35.82,0.004018874971623232
35.86,0.005161644634755214
35.9,0.004342998958945188
35.96,0.004782857236568572
36.86,0.004096368080073631
37.02,0.003562005520847178
37.1,0.0035324832248040394
37.6,0.0038220666271550074
37.72,0.007034801259132029
37.72,0.004308104273683222
37.76,0.0062912842415759895
37.78,0.003647594590961978
38.84,0.004979829065004049
38.92,0.0034473198485324152
39.66,0.0025389318158551832
39.88,0.0036050317495296413
40.3,0.005048861103133628
41.28,0.0052988585891328155
41.3,0.0035560506255479796
41.54,0.003509470388446956
42.34,0.0038607383536723994
42.36,0.004156534867479578
42.68,0.0033287669149000276
42.78,0.007481930581016427
43.1,0.002942560404003647
44.18,0.0036901782531509886
44.24,0.003931507396328193
44.84,0.0025870391148243854
45.3,0.006331968762137152
45.52,0.003484053315417568
47.2,0.0031639187345625652
48.74,0.002505571752072777
49.12,0.003948540424787428
49.12,0.004550675323691578
49.62,0.004322481566997993
49.82,0.003944261516698022
50.22,0.004292518515154775
50.4,0.003862198096850955
50.66,0.005266036190463175
51.0,0.0034851409853350335
51.3,0.003485355924802369
51.36,0.003791713948514186
51.52,0.004097626972876189
52.16,0.0042828406399529895
52.42,0.0036515563695600495
52.58,0.0035713274164231867
52.76,0.0049855910291342065
53.26,0.004091057533283204
53.3,0.004479009901335651
53.5,0.0032610739878455863
53.94,0.002943796662417175
54.14,0.003998961399209189
55.6,0.0033616429014799998
56.0,0.004663699076911998
57.12,0.0037444065485136013
57.48,0.0036374035201584
57.52,0.0036032315475855725
57.88,0.0031289744998740376
58.3,0.0032249079831475624
58.38,0.004275203196877575
59.58,0.004058680792626612
59.74,0.0033252641487692136
61.46,0.004007347391531191
61.56,0.00419624331378321
61.62,0.0044032528366737544
61.84,0.0034926737654303874
62.06,0.004791373855099645
62.12,0.004369382635835195
62.48,0.003967772404612768
