time (s),contrast
,
0.02,0.0036600552168976064
0.04,0.003740774919871015
0.04,0.002968794683978593
0.08,0.004098948084345189
0.1,0.004413885685975227
0.12,0.011664856664381773
0.12,0.004169823944644824
0.12,0.004158389453072786
0.14,0.0036337870245035653
0.2,0.004150954571932375
0.22,0.0042279608356462495
0.22,0.0036472286262791975
0.22,0.0027624385758053815
0.26,0.007395864565053034
0.26,0.004841174760349398
0.26,0.0048139176162877995
0.26,0.004364116156431175
0.28,0.004386707549025037
0.3,0.005338978700182406
0.34,0.005434547864860417
0.36,0.0033033353995224335
0.38,0.0032131560315475927
0.46,0.0035376145872267895
0.46,0.004330224631949653
0.46,0.003412340813117809
0.46,0.003692487039992809
0.46,0.004640876661706761
0.5,0.00370680802977319
0.5,0.003333342825945995
0.5,0.004169374467317355
0.52,0.003272335795727166
0.52,0.003381219903727639
0.52,0.0029700440043930465
0.54,0.00439294154352321
0.54,0.0038730897387040386
0.62,0.0037627454016524453
0.64,0.004449798001926242
0.66,0.004316373494419601
0.66,0.007136031518955366
0.66,0.0036625205850737697
0.68,0.004092627929521253
0.7,0.003843941867870182
0.72,0.003946302735776452
0.74,0.0034729520803540304
0.74,0.004452138107857162
0.74,0.004174417029877198
0.76,0.0035888228382904286
0.76,0.003723364251204453
0.78,0.008517830831010431
0.78,0.003062808362849223
0.78,0.0038218516819451542
0.78,0.003710589769179151
0.78,0.004211823153453587
0.78,0.003751315916315612
0.8,0.00313184311245962
0.82,0.004749610370131441
0.88,0.004063299288217803
0.88,0.0034411037069872474
0.9,0.005048201226106386
0.92,0.0038609693491136188
0.96,0.0025316084052348087
0.96,0.004447838312966024
0.98,0.004609063743529984
0.98,0.0038222906758286213
1.0,0.004417030868318017
1.0,0.004301205416141651
1.04,0.002919174012844583
1.04,0.00485828888915063
1.08,0.004671277017230024
1.08,0.004322564359224623
1.08,0.0036678016431805904
1.1,0.0034488383295070424
1.1,0.0026475148777179713
1.14,0.006296805291459595
1.14,0.003496867926944036
1.14,0.00411130472369603
1.16,0.004824881345329768
1.16,0.003558698953330386
1.16,0.00318211799959478
1.18,0.0026618553244883714
1.18,0.0028504049456248293
1.18,0.0031917013450372123
1.2,0.0030810819667403955
1.2,0.006261666318245429
1.2,0.003927829861250398
1.2,0.0032485040173148017
1.22,0.003590159292324979
1.22,0.003870023205087225
1.22,0.004710675304245626
1.22,0.004679211227060387
1.24,0.007268355770649992
1.24,0.003938863695119199
1.26,0.0052581446921964314
1.28,0.003812293349403806
1.28,0.005237373282417246
1.3,0.00884593568667602
1.32,0.0031077232274866473
1.36,0.004012827837448829
1.38,0.004281688207652179
1.4,0.004424381868832428
1.4,0.003547890663973985
1.4,0.003398780557833825
1.42,0.004135617243382628
1.44,0.004487817927788185
1.44,0.0037021883772125896
1.46,0.003975792043680815
1.46,0.003471252781020562
1.48,0.004212729568579654
1.48,0.003545372006642622
1.5,0.0037104565492122044
1.52,0.004432847076879187
1.54,0.003982386288279183
1.54,0.0043841814497102005
1.56,0.004361349857152419
1.6,0.0032350628575623652
1.6,0.0032674632627666123
1.6,0.0045319213484084075
1.62,0.005259331220651586
1.62,0.0034263116344912525
1.64,0.004064481781217211
1.64,0.007058681711173631
1.66,0.0042900738953461914
1.68,0.0039366440758942245
1.68,0.004250489239473576
1.68,0.004330191511841774
1.7,0.004587845980535965
1.7,0.003848501611715016
1.7,0.0033514683875883744
1.72,0.0033219239445210214
1.74,0.008381899895137157
1.76,0.0032678029866055613
1.82,0.004643394538306422
1.9,0.0035672728155952127
1.92,0.0034307323464002337
1.92,0.0033240820694866446
1.92,0.003096764065298352
1.94,0.0041185199748016155
1.94,0.002880871212480818
1.96,0.003401916782041159
1.98,0.004030656741776051
2.0,0.005230821427044008
2.0,0.004691425101050362
2.0,0.003253470528988389
2.02,0.003780991057298233
2.04,0.004089600290629547
2.04,0.004388508136244029
2.04,0.0035800570130452014
2.04,0.004985427286909649
2.06,0.00409758995225562
2.08,0.004439288129925223
2.08,0.0039165054178628145
2.1,0.005277186335176376
2.1,0.0040770551624148554
2.12,0.0041335652549415736
2.12,0.004018037160089638
2.14,0.004051475610200028
2.16,0.0030465506257454367
2.16,0.0038936478304903988
2.18,0.003367535117830389
2.22,0.004544205485780384
2.24,0.004369798492256605
2.26,0.0029295809269711537
2.32,0.0044131091987046345
2.36,0.004689218963143227
2.36,0.003668433915445024
2.38,0.011928171475748761
2.44,0.003543271789974378
2.44,0.00407557421678062
2.46,0.0042250572374678
2.48,0.003630009887787833
2.5,0.0037592392275683784
2.52,0.005733102546891966
2.58,0.00413526921508145
2.58,0.0035211933252555783
2.6,0.0039735346300824315
2.62,0.005745000211277995
2.62,0.004213393916432828
2.64,0.0044381182870786295
2.64,0.0048444444473537684
2.68,0.004409672239409246
2.68,0.00359912871559942
2.68,0.008193629966139038
2.7,0.0035186606233016393
2.72,0.0036913344916500446
2.76,0.004448283304416378
2.76,0.004560068436182951
2.78,0.0030613967219820237
2.78,0.005535015321581627
2.8,0.003550991617648047
2.8,0.005214106992197376
2.82,0.004566461236710784
2.82,0.004046706427326852
2.84,0.004838902470580386
2.84,0.003959462633433164
2.86,0.004077203458565548
2.86,0.0040395808924952314
2.88,0.004499214461571643
2.88,0.004642657589892796
2.88,0.0034022004581504284
2.9,0.003955427063162431
2.92,0.004837763140399631
2.98,0.004156806774642807
3.0,0.005187372214300767
3.0,0.004703721606683975
3.0,0.006721442371509179
3.04,0.003924533125863827
3.04,0.0040911426359530045
3.14,0.004573500594353352
3.16,0.004407644192361393
3.22,0.003800072211946559
3.26,0.00327763259572722
3.32,0.0043870164489048236
3.36,0.003948040418799814
3.36,0.003813763147621052
3.4,0.004884627353143212
3.42,0.003631977480917148
3.44,0.004067950231772199
3.46,0.008764879217094346
3.46,0.003918519043993207
3.48,0.0037404027413715513
3.56,0.004344362072200014
3.56,0.00352552815269358
3.58,0.005690590273705998
3.58,0.002851750600372016
3.58,0.005916122630131193
3.6,0.00363172895533459
3.62,0.0030546195634497675
3.66,0.004882495732336567
3.7,0.003543458123334564
3.72,0.003375363134881182
3.72,0.0037164172567736298
3.74,0.004406523784247551
3.76,0.0037642674323660197
3.8,0.0030680453012905673
3.82,0.004800266580847978
3.82,0.004062945295394749
3.84,0.00401430692076965
3.84,0.0038323529444728166
3.86,0.008013832104397545
3.88,0.006215962607201031
3.88,0.006357036143091577
3.9,0.00367046777447122
3.9,0.0047495134761830204
3.92,0.004543465367832011
3.92,0.004231129434641767
3.94,0.0035807788456504452
3.96,0.0037596418133399867
4.0,0.004225911474393773
4.0,0.003660499620971591
4.06,0.004137435837989423
4.08,0.003844593137673158
4.12,0.004645422359514595
4.12,0.0039922167522478125
4.12,0.00456020188616324
4.12,0.004391562279487005
4.16,0.0037107508802471934
4.18,0.004275224827579582
4.18,0.007069554933626043
4.18,0.003478647197027618
4.2,0.0032266625485003475
4.22,0.00392727661254455
4.24,0.003533288626238029
4.24,0.003148164037128365
4.28,0.0047647844380548365
4.3,0.004593694361925582
4.3,0.003668277285797772
4.3,0.0036977814676115717
4.3,0.003431587287446969
4.32,0.003383394014521812
4.32,0.003808949919364757
4.32,0.0035129576597201506
4.34,0.0033380919604791837
4.36,0.0029839378421652185
4.36,0.005040288131999415
4.36,0.003708514658819606
