time (s),contrast
,
4.44,0.00402494047188684
5.1,0.004171920463317602
5.82,0.0035484658438420524
8.18,0.0036188587012967455
9.12,0.0034677108812686264
9.14,0.004422160555072385
13.56,0.004295291237215393
15.88,0.004065616403604366
17.9,0.0036831677690254416
21.28,0.004148087893348751
27.82,0.003546287892138622
29.34,0.008276198045726768
29.98,0.0037086283167729883
31.86,0.0038142704586904275
33.34,0.003019320123974212
34.2,0.004363513186561585
41.82,0.004430234516168752
42.18,0.004130145649709038
42.52,0.004393436832602404
43.42,0.002901389929732434
44.0,0.0033571665749323465
44.7,0.0030683987520185863
48.36,0.004001133832417625
50.04,0.0029881694976056083
