time (s),contrast
,
0.52,0.00964437530820561
1.32,0.004388797102307995
1.88,0.004191572218030015
2.04,0.003917193368743965
4.66,0.0034516345927876335
6.56,0.0039971475925904
7.64,0.004176619448696628
9.64,0.00350850353797838
13.02,0.002563452442771008
14.62,0.003915143247933961
15.72,0.003944157661664005
19.92,0.004432707403860592
20.24,0.0038888128867859972
20.96,0.004065823446826378
30.14,0.0032846108787591977
32.24,0.004682514322075559
33.52,0.003957214443388812
33.76,0.006846216188446053
37.22,0.0035877001811760456
37.92,0.004492597895273565
40.12,0.0040584811900575835
41.26,0.003781078892302392
43.06,0.004303538395457607
44.34,0.0033915571002289813
46.14,0.0036530881952208105
47.96,0.004037598645901586
58.1,0.0038834735059736225
58.22,0.0037679426943247885
61.82,0.006970689218208648
64.56,0.0049967806390271985
